feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Flavobacterium	hatchery	willamette	-2.0046372129396	1.00247716230323	40	23	0.053124187729148	0.296377047331036
Streptococcus	hatchery	south_santiam	-2.33357018020892	1.17504507843311	40	38	0.0546954847376355	0.29988214045807
Rhodococcus	hatchery	willamette	1.38107628783741	0.713978279059926	40	38	0.06096114142967	0.314499959831095
Pseudomonas	hatchery	south_santiam	2.42213257803966	1.25398783623284	40	37	0.0613176022312197	0.314499959831095
Roseomonas	hatchery	willamette	-1.59265901297046	0.823852767700623	40	7	0.0611082460555906	0.314499959831095
Turicibacter	hatchery	sandy	0.834474835960951	0.42778477623356	40	39	0.0589120087114402	0.314499959831095
Staphylococcus	hatchery	sandy	-1.87467132440484	1.0093292010283	40	39	0.0714578677081585	0.360692094145943
Iodobacter	hatchery	willamette	1.64082294161008	0.888774317153978	40	15	0.0731036734875926	0.363233877641476
Psychrobacter	hatchery	south_santiam	-2.02471476126665	1.11680707392314	40	5	0.0781848936893313	0.382504556818575
Tychonema.CCAP.1459.11B	hatchery	south_santiam	-1.78668310504583	1.0163529422707	40	5	0.0872591703011108	0.393373455196103
Exiguobacterium	hatchery	sandy	-2.46658491975827	1.37919071534127	40	12	0.0821255996578283	0.393373455196103
Akkermansia	hatchery	sandy	0.932098301576655	0.526439732381284	40	37	0.0851003532713563	0.393373455196103
Mycobacterium	hatchery	willamette	1.60467737377828	0.921469498919425	40	6	0.0901482008374454	0.393373455196103
Rhizobiaceae	hatchery	willamette	1.97206139770696	1.12759888847562	40	14	0.0888306276442712	0.393373455196103
Kocuria	hatchery	south_santiam	-1.98607192953354	1.11607236702681	40	39	0.0835985728822567	0.393373455196103
Ramlibacter	hatchery	willamette	-0.623694795183528	0.352799121308389	40	14	0.0855617988501707	0.393373455196103
Chryseobacterium	hatchery	south_santiam	2.06082589728321	1.18399963264967	40	16	0.0903027114129419	0.393373455196103
Geobacillus	hatchery	south_santiam	-2.44475069478106	1.41305533544686	40	26	0.0921752853852503	0.396104604763643
Cetobacterium	hatchery	south_santiam	-2.06614592495472	1.21065755655783	40	13	0.0965041397931124	0.406036019788153
Lawsonella	hatchery	sandy	1.71737163706724	1.0079743029851	40	8	0.0970400550437095	0.406036019788153
Noviherbaspirillum	hatchery	willamette	1.83702240439645	1.09094636194577	40	13	0.100857998644737	0.40639090109053
Geobacillus	hatchery	willamette	-2.02119249027088	1.21168495378605	40	26	0.103975662332546	0.40639090109053
Akkermansia	hatchery	south_santiam	0.854956053466945	0.508589099740022	40	37	0.101413681341974	0.40639090109053
Alistipes	hatchery	sandy	0.503336402036235	0.303618822942168	40	40	0.106050017965007	0.40639090109053
Caldicellulosiruptor	hatchery	south_santiam	-2.12729016307145	1.28328641682112	40	8	0.106070581102245	0.40639090109053
Dubosiella	hatchery	sandy	0.821166534433575	0.492621235231536	40	37	0.104205986732923	0.40639090109053
Faecalibacterium	hatchery	sandy	0.827196865817836	0.489994315867524	40	36	0.100023468264836	0.40639090109053
Dermacoccus	hatchery	willamette	1.6338307682475	1.00562370012279	40	12	0.112952350613707	0.417661017385566
Segatella	hatchery	willamette	-0.429323169264523	0.26366610243457	40	38	0.112186335668965	0.417661017385566
Kocuria	hatchery	willamette	1.55665232219187	0.957024159308742	40	39	0.112554694727426	0.417661017385566
Malacoplasma	hatchery	sandy	1.10960496767663	0.693363046052163	40	38	0.118267353553059	0.422961528850736
Alistipes	hatchery	willamette	-0.404270869940229	0.251522954847168	40	40	0.116727026491923	0.422961528850736
Sphingomonas	hatchery	willamette	1.61175174875003	1.01014568280943	40	30	0.119328856551835	0.422961528850736
Lactococcus	hatchery	willamette	1.64147460619747	1.02986049066464	40	37	0.119706093070963	0.422961528850736
Sphingobacterium	hatchery	willamette	1.18120525300306	0.75042607778815	40	5	0.124225300180306	0.434105994036672
Tychonema.CCAP.1459.11B	hatchery	sandy	-1.64899677573988	1.05202524239591	40	5	0.125758632165986	0.434687445965038
Corynebacterium	hatchery	sandy	-1.44811912729493	0.929331273503402	40	40	0.127925669334968	0.437423256435698
Lactobacillus	hatchery	sandy	0.86677914362724	0.579943040268959	40	37	0.143735243485341	0.486253270514238
Kocuria	hatchery	sandy	-1.69423450275462	1.15524465332835	40	39	0.151177751226759	0.502865027822222
Enhydrobacter	hatchery	willamette	-1.42874279315744	0.97576078739036	40	20	0.151808310285954	0.502865027822222
Granulicatella	hatchery	south_santiam	-1.61690059045032	1.11504444633294	40	7	0.155694148306009	0.50727042182645
Escherichia.Shigella	hatchery	sandy	0.97089478098603	0.673260173025345	40	8	0.157923810568612	0.50727042182645
Escherichia.Shigella	hatchery	south_santiam	0.941281059311795	0.650431121034331	40	8	0.156503198764495	0.50727042182645
Psychrobacter	hatchery	sandy	-1.64423285795678	1.15600514721641	40	5	0.163534779572712	0.513992120395016
Cetobacterium	hatchery	willamette	-1.47881744886073	1.03813029020877	40	13	0.162913146208612	0.513992120395016
Undibacterium	hatchery	willamette	-1.13194098233618	0.79841356431628	40	8	0.164865397107835	0.513992120395016
Caldicellulosiruptor	hatchery	sandy	-1.84411848993388	1.32832763853016	40	8	0.17357704383922	0.535898057678368
Lachnoclostridium	hatchery	willamette	-0.404590528945534	0.297282672782754	40	29	0.181984913511261	0.545954740533784
Rhodoferax	hatchery	willamette	-1.3534766314574	0.991881579769281	40	38	0.180862468656689	0.545954740533784
Mesomycoplasma	hatchery	willamette	-0.516219470548381	0.377070700659992	40	40	0.179472951248663	0.545954740533784
Acinetobacter	hatchery	sandy	-1.57797748413549	1.16611114284418	40	39	0.184429828609342	0.548118556053932
Agathobacter	hatchery	sandy	0.670602121514923	0.49963856950585	40	35	0.18794325745715	0.548311521755723
Staphylococcus	hatchery	willamette	1.12229109110351	0.836145337091056	40	39	0.187928594930963	0.548311521755723
