feature	Lachnospiraceae.NK4A136.group	Methylobacterium	Streptococcus	Neisseriaceae	Paucibacter	Rhodococcus	Micrococcus	Massilia	Dermacoccus	Lactobacillus	Actinomyces	Noviherbaspirillum	Deinococcus	Aeromonas	Brevundimonas	Brevibacterium	Luteolibacter	Arcobacter	Tychonema.CCAP.1459.11B	Agathobacter	Veillonella	Abiotrophia	Actinomycetospora	Granulicatella	Anoxybacillus	Mobilicoccus	Chroococcidiopsaceae	Haemophilus	Klebsiella	Anaerococcus	Thermus	Frondihabitans	Hafnia.Obesumbacterium	Curtobacterium	Citrobacter	Ephemeroptericola	Geobacillus	Pseudomonas	Tetragenococcus	Bifidobacterium	Psychrobacter	Lachnoclostridium	Exiguobacterium	Staphylococcus	Segatella	Flavobacterium	Marisediminicola	Clostridium	Cetobacterium	Oxalobacteraceae	Rathayibacter	Akkermansia	Peptoniphilus	Sphingobacterium	Malacoplasma	Lawsonella	Carnobacterium	Serratia	Paracoccaceae	Cloacibacterium	Pedobacter	Allomeiothermus	Mycobacterium	Parageobacillus	Methylorubrum	Roseomonas	Enterococcus	Bacteroides	Alistipes	Sphingomonas	Arthrobacter	Plesiomonas	Knoellia	Comamonadaceae	Dolosigranulum	Rhizobiaceae	Corynebacterium	Blastococcus	Caldicellulosiruptor	Undibacterium	Kocuria	Bacillus	Blautia	Nakamurella	Acinetobacter	Lautropia	Rhodoferax	Limnohabitans	Comamonas	Lactococcus	Patulibacter	Escherichia.Shigella	Bradyrhizobium	Rothia	Muribaculaceae	Turicibacter	Enhydrobacter	Aggregatibacter	Dubosiella	Neisseria	Ramlibacter	Paracoccus	Faecalibacterium	Iodobacter	Chryseobacterium	Mesomycoplasma
ChS_RBH_F23_11	2.34899879122123	0.893711558614388	-1.05219859044093	-1.05219859044093	4.34142895591144	0.0464136982271848	1.51275076702061	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	1.43270805934708	4.39453878122538	-1.05219859044093	0.0464136982271848	-1.05219859044093	0.557239321993175	0.0464136982271848	-1.05219859044093	0.557239321993175	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	0.334095770678966	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	2.66137347626338	-1.05219859044093	-1.05219859044093	2.12585523990702	-1.05219859044093	-1.05219859044093	6.07549510890647	-1.05219859044093	2.31509723954555	3.71848603402474	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	4.4890649547175	-1.05219859044093	-1.05219859044093	1.9923238472825	5.91665178790102	-1.05219859044093	-1.05219859044093	2.12585523990702	-1.05219859044093	-1.05219859044093	2.08329562548822	3.10668449291875	-1.05219859044093	6.7446817523426	-1.05219859044093	-1.05219859044093	0.0464136982271848	-1.05219859044093	0.0464136982271848	4.56457250722565	-1.05219859044093	-1.05219859044093	-1.05219859044093	5.29694040093887	-1.05219859044093	0.334095770678966	-0.35905140988098	4.23100513829706	-1.05219859044093	7.97289595322406	7.66777216633665	0.73956087878713	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	3.88227534268977	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	-1.05219859044093	1.9923238472825	3.70997534435683	-1.05219859044093	-1.05219859044093	-1.05219859044093	4.92161102142834
ChS_RBH_F23_12	0.791271657145417	2.42118810092306	0.682072365180425	-2.57602417284106	7.23775746661058	0.132026028261153	-0.966586260406957	1.13754789386325	-1.18972981172117	2.59445982219709	-2.57602417284106	-1.47741188417295	4.4414819701002	5.435994066318	-0.966586260406957	-1.88287699228111	5.45698532575561	-2.57602417284106	6.48929042708487	0.682072365180425	-0.966586260406957	-1.88287699228111	-1.88287699228111	5.5686550106067	-2.57602417284106	-1.47741188417295	-2.57602417284106	-1.47741188417295	5.43001000590795	-1.18972981172117	-2.57602417284106	-2.57602417284106	-2.57602417284106	-0.784264703613002	-2.57602417284106	-2.57602417284106	4.58559783009813	0.0630331567742015	5.69014026377143	0.559470043088093	7.09370114923272	0.419708100712934	2.4346111212552	5.00109775803562	1.08753747328859	3.3977854390282	-1.88287699228111	1.55111021220403	4.90665765531359	-1.47741188417295	-2.57602417284106	2.05870481538858	-2.57602417284106	-1.88287699228111	3.31285378549182	-2.57602417284106	0.559470043088093	1.97785271875948	-1.88287699228111	-1.47741188417295	-0.0911175230530565	5.91091597540416	-1.47741188417295	5.15634504944333	-0.0911175230530565	6.21165406619844	-0.0110748153795202	2.11532370938809	1.23063831692926	-0.378799595504837	7.18047035595441	-0.178128900042686	-2.57602417284106	-2.57602417284106	-2.57602417284106	-2.57602417284106	0.682072365180425	-1.88287699228111	4.0664626285262	4.71426870960554	6.71349699700957	-1.18972981172117	0.368414806325383	-2.57602417284106	1.64348353233505	-1.47741188417295	7.57810535971109	3.58307121565088	-0.630114023785744	6.91618138626534	-2.57602417284106	-2.57602417284106	5.09113408247809	-1.88287699228111	2.60575937745103	2.84007622936336	6.03920275884655	-1.47741188417295	1.8306950744232	-0.496582631161221	-0.784264703613002	5.22700247079116	1.50151327106466	-2.57602417284106	-0.496582631161221	3.3100798586091
ChS_RBH_F23_15	1.79808025877043	-0.68682639101757	1.66454886614591	-1.37997357157752	8.67970543413352	0.92261152141653	-1.37997357157752	1.4532397724787	-1.37997357157752	3.07437372467599	-1.37997357157752	-1.37997357157752	-0.281361282909406	1.51039818631865	-1.37997357157752	-1.37997357157752	-1.37997357157752	-0.281361282909406	8.00070011788056	1.32807662952469	-1.37997357157752	-1.37997357157752	-1.37997357157752	-0.68682639101757	-1.37997357157752	2.14638695303865	-1.37997357157752	-0.281361282909406	-1.37997357157752	-1.37997357157752	-1.37997357157752	-1.37997357157752	-1.37997357157752	-1.37997357157752	0.229464340856585	-1.37997357157752	-1.37997357157752	0.229464340856585	7.9056597844341	0.92261152141653	-0.68682639101757	0.41178589765054	6.55525596823939	2.38122654411605	1.51039818631865	-0.68682639101757	-0.68682639101757	2.02122381008464	5.18105709431906	-1.37997357157752	-0.68682639101757	2.57127014700391	-1.37997357157752	-1.37997357157752	3.81852345968831	-1.37997357157752	1.87812296644397	2.51184672653311	-1.37997357157752	0.00632078954237514	0.229464340856585	4.42516139733897	-0.281361282909406	5.59263267972424	-0.68682639101757	-1.37997357157752	0.565936577477798	2.64537811915763	1.56446540758892	-0.68682639101757	7.94405256480248	-1.37997357157752	-1.37997357157752	0.00632078954237514	-0.281361282909406	5.70089432511327	0.69946797010232	-1.37997357157752	-1.37997357157752	-1.37997357157752	8.31093938099364	-1.37997357157752	0.69946797010232	-1.37997357157752	3.5178662283734	-1.37997357157752	5.29836854307682	-1.37997357157752	-0.281361282909406	2.59031834197461	-1.37997357157752	-1.37997357157752	-0.281361282909406	-1.37997357157752	2.79441369831812	3.3205067942149	5.02194362514967	-0.68682639101757	2.20354536687859	-1.37997357157752	0.00632078954237514	-0.281361282909406	1.87812296644397	-1.37997357157752	-1.37997357157752	3.76168998492514
ChS_RBH_F23_1	1.07010187746221	-0.0873509112288371	5.6869182680847	0.510486089526783	8.98461519147199	5.25932362532729	-1.79209900346726	1.55780508380734	6.56304573599458	2.75650083103243	-1.09895182290732	-2.48524618402721	5.29002966245965	4.63600626921733	-1.3866338953591	5.4858395694784	-2.48524618402721	-1.09895182290732	-2.48524618402721	0.980489718772519	-0.288021606690988	-2.48524618402721	-2.48524618402721	-1.09895182290732	4.05866566153758	-1.09895182290732	-0.875808271593107	-0.693486714799153	5.65623485743021	-1.09895182290732	-2.48524618402721	-1.09895182290732	-1.79209900346726	-0.693486714799153	-2.48524618402721	-2.48524618402721	4.12947941617655	5.02408908198938	7.00280167925355	0.810590681977121	-0.875808271593107	0.772850353994274	-1.3866338953591	6.28021234747702	1.34339521246189	5.96409634048086	-1.3866338953591	1.84548715625912	-0.875808271593107	-2.48524618402721	-2.48524618402721	2.16871416613032	4.55529020618875	-2.48524618402721	3.43633223561661	-2.48524618402721	6.34339443339107	7.1142944035911	-2.48524618402721	-1.3866338953591	0.287342538212573	5.76066308074689	-1.3866338953591	6.23488785138572	0.287342538212573	-2.48524618402721	0.692807646320738	2.35894090243138	1.85855923782648	-0.0873509112288371	4.06153922673332	0.222804017075002	-2.48524618402721	-1.3866338953591	-2.48524618402721	-0.288021606690988	3.56919316224216	-2.48524618402721	-0.875808271593107	-2.48524618402721	2.26834400707916	6.63363657746014	0.650248031901942	-2.48524618402721	7.54169717243584	-2.48524618402721	9.07768775029627	-0.693486714799153	-0.693486714799153	5.89337435752509	-1.09895182290732	-0.693486714799153	6.23423457682386	-1.3866338953591	2.67953978989631	3.12788192236086	4.81455118273095	-1.09895182290732	2.23325268726789	-0.405804642347372	-0.0873509112288371	-2.48524618402721	1.70440855799922	-1.3866338953591	-2.48524618402721	4.74676414763755
ChS_RBH_F23_2	1.14256617716866	0.152167473140785	5.47517745227919	3.35553911147302	9.05977981445992	0.806093940547449	-2.41278188432075	1.43736571738931	-0.803343971886652	2.92955236764406	-1.71963470376081	-2.41278188432075	-1.31416959565264	7.60153122330426	-0.215557306984532	-1.31416959565264	-1.71963470376081	-1.71963470376081	-2.41278188432075	1.30079018238356	-0.803343971886652	3.96053790525626	-2.41278188432075	-1.71963470376081	-2.41278188432075	-2.41278188432075	-1.02648752320086	-0.621022415092697	-0.110196791326706	-0.803343971886652	-2.41278188432075	-2.41278188432075	-0.803343971886652	-1.02648752320086	-2.41278188432075	-2.41278188432075	7.11448377857685	1.05295401847897	6.99853822626792	1.27609756979318	-2.41278188432075	1.02120532016439	-0.621022415092697	7.53982911017493	1.41585951216834	7.5645135953601	-2.41278188432075	5.22734128837461	5.74056787367814	-2.41278188432075	-2.41278188432075	2.14109500727979	-2.41278188432075	-1.71963470376081	3.63222342971526	-2.41278188432075	1.30079018238356	5.44315031539786	6.88685059513419	-1.02648752320086	0.84531465370073	6.66391280278551	-2.41278188432075	6.2055228084639	0.722712331608398	-2.41278188432075	0.631740553402671	2.58443038944336	1.82132462027651	7.58260093291963	0.152167473140785	-2.41278188432075	-2.41278188432075	-2.41278188432075	-1.71963470376081	-0.621022415092697	4.31105055650046	-1.71963470376081	7.25643797239823	-2.41278188432075	1.79191073507021	7.06804353527869	0.531657094845688	-2.41278188432075	0.765271946027194	-0.803343971886652	0.806093940547449	-0.333340342640916	-0.621022415092697	2.27856599790839	-2.41278188432075	-0.466871735265439	6.53671306915721	-2.41278188432075	2.86533277490976	3.28766168906993	-0.333340342640916	-0.621022415092697	2.22194710390888	-0.621022415092697	-1.31416959565264	-2.41278188432075	1.82132462027651	-1.71963470376081	-0.803343971886652	5.14050472127967
ChS_RBH_F23_3	1.42828078342624	0.249625787084595	7.46972526283924	-1.82981575459524	9.84515202631056	0.735133602866296	-1.1366685740353	1.80777040513115	-0.73120346592713	3.20713684781839	-0.44352139347535	5.87724690077523	-0.22037784216114	1.63592014820449	-1.82981575459524	-1.82981575459524	-1.82981575459524	-1.82981575459524	-1.82981575459524	1.50238875557996	-0.44352139347535	-1.82981575459524	-1.82981575459524	-1.82981575459524	-1.82981575459524	-1.82981575459524	-1.1366685740353	-0.0380562853671853	7.3663242679798	-1.82981575459524	6.27970990515763	-1.82981575459524	-0.73120346592713	-1.82981575459524	-1.82981575459524	-1.82981575459524	7.0968345661987	6.37676785972551	8.45056594906102	1.1146232245712	-1.1366685740353	1.16591651895875	-1.82981575459524	5.24768229897399	1.30567846133391	-0.22037784216114	-1.1366685740353	2.10200987812909	-1.82981575459524	-1.82981575459524	-1.82981575459524	2.37487686479573	-1.82981575459524	-1.82981575459524	3.84006516838528	-1.82981575459524	1.60417144988991	2.8615321276339	-1.82981575459524	-1.82981575459524	0.65509089519276	6.19831330483652	-1.1366685740353	8.05331601768381	0.249625787084595	-1.82981575459524	0.942772967644541	2.8049132336344	2.23062725595118	7.01134322135002	5.95673605183347	0.249625787084595	-0.73120346592713	-1.82981575459524	-1.82981575459524	-1.82981575459524	4.96812465837969	-1.82981575459524	-0.44352139347535	-1.1366685740353	2.9904658110098	-1.82981575459524	0.249625787084595	-1.82981575459524	7.32215370405461	-0.44352139347535	1.72553230689417	-1.82981575459524	-0.73120346592713	2.26452880762686	-1.82981575459524	-0.0380562853671853	0.249625787084595	-1.82981575459524	3.06053337362651	3.23908844762499	-0.44352139347535	-0.73120346592713	2.44685036442081	-1.82981575459524	0.249625787084595	-1.82981575459524	2.02033184711482	-1.82981575459524	-0.22037784216114	3.84693804767304
ChS_RBH_F23_4	1.21059323183614	6.16710710265121	7.68786573729579	-1.40436654620006	8.52402497870221	0.898218546793983	-2.50297883486817	5.65753941260933	-2.50297883486817	2.75971135403671	-2.50297883486817	4.25975067206371	-0.893540922434072	5.35566182075262	-1.11668447374828	-1.80983165430823	-2.50297883486817	-1.40436654620006	-2.50297883486817	1.13460732485821	5.54772454660213	-2.50297883486817	-2.50297883486817	4.93599275752769	4.96952190986939	-0.557068685812859	-2.50297883486817	6.06433696595128	4.13558895429835	-1.40436654620006	3.39142399939668	-2.50297883486817	-1.80983165430823	5.75284959241366	-0.711219365640117	-2.50297883486817	5.41601365329707	-0.711219365640117	6.31816340146372	0.993528726598308	-0.893540922434072	0.387392923027992	4.409763985625	8.94661271646678	1.2346907834152	-1.40436654620006	-1.11668447374828	3.43191536075142	-0.893540922434072	-2.50297883486817	-2.50297883486817	2.34120825159042	-2.50297883486817	-2.50297883486817	3.46828300492229	-2.50297883486817	1.02338168974799	3.17377496740011	-2.50297883486817	-0.711219365640117	0.387392923027992	-1.11668447374828	-2.50297883486817	6.42698603983867	4.82414445739112	0.492753438685819	0.588063618490144	2.38737029335358	1.5043543503643	0.898218546793983	3.88052780001583	-2.50297883486817	-2.50297883486817	-1.11668447374828	-1.40436654620006	-0.893540922434072	6.64676191497908	-2.50297883486817	5.26850992524944	-2.50297883486817	0.205071366234038	5.74424121787706	-0.305754257531953	-2.50297883486817	1.28121079905009	-1.11668447374828	0.993528726598308	-2.50297883486817	-1.11668447374828	2.17915239225605	-2.50297883486817	0.0619705225933647	4.19158322365292	-2.50297883486817	2.63281960218209	3.18060093247051	5.69290655644662	-2.50297883486817	2.0819886438024	-0.893540922434072	-0.711219365640117	3.30215613404832	1.70171378452279	-2.50297883486817	-2.50297883486817	3.52046875809286
ChS_RBH_F23_8	1.53725498614901	0.438642697480897	0.57217409010542	-1.50726745157442	8.08075564749748	1.53725498614901	-0.814120271014471	1.5837750017839	-0.814120271014471	3.03602733069559	-1.50726745157442	-0.814120271014471	-1.50726745157442	1.67078637877353	0.284492017653639	-0.814120271014471	-1.50726745157442	-0.408655162906306	-0.120973090454526	1.53725498614901	-0.408655162906306	-1.50726745157442	-1.50726745157442	-0.814120271014471	-1.50726745157442	8.70730126684172	-0.408655162906306	-0.120973090454526	1.05768190588712	-1.50726745157442	3.07770002709616	-1.50726745157442	-0.408655162906306	-0.814120271014471	-1.50726745157442	-1.50726745157442	-0.814120271014471	0.977639198213584	6.53639590081953	1.20078274952779	7.15834574496009	0.977639198213584	-0.408655162906306	4.69729031099427	1.78856941442991	-1.50726745157442	-1.50726745157442	1.89392993008774	-0.408655162906306	-1.50726745157442	-0.408655162906306	2.87475918309946	-1.50726745157442	-1.50726745157442	3.94377100199128	-1.50726745157442	1.5837750017839	2.76939866744164	-1.50726745157442	-0.120973090454526	1.05768190588712	-1.50726745157442	-1.50726745157442	7.50596254613437	0.438642697480897	-1.50726745157442	0.79531764141963	2.7554124254669	1.98924010989206	-0.814120271014471	6.85980028126418	-0.408655162906306	-1.50726745157442	0.102170460859684	-1.50726745157442	-0.814120271014471	1.05768190588712	-1.50726745157442	-1.50726745157442	-1.50726745157442	0.57217409010542	4.24212553433384	-0.120973090454526	-1.50726745157442	4.07246237441181	-0.814120271014471	6.76938167384744	-1.50726745157442	-1.50726745157442	-1.50726745157442	-1.50726745157442	-1.50726745157442	0.284492017653639	-1.50726745157442	3.13712344756696	3.33691963488417	0.102170460859684	0.102170460859684	2.61986693347068	-0.408655162906306	0.102170460859684	-1.50726745157442	2.15629419455523	-0.408655162906306	-0.814120271014471	4.03790999290515
ChS_SH_F23_10	1.73453492467387	-0.0443211397182761	4.25870391179048	-1.22297613605992	4.86946432838806	1.19739199259051	-1.5106582085117	5.07228986537972	-1.5106582085117	3.35943706280555	-1.22297613605992	1.6534093798615	0.722934012995391	4.75906918913157	-0.999832584745713	3.78097016988554	-1.91612331661987	-0.999832584745713	-0.817511027951758	1.61023720799629	-0.306685404185767	-1.22297613605992	1.84507679907369	-1.5106582085117	-0.6633603481245	-0.999832584745713	-0.412045919843593	-0.211375224381442	1.05429114894983	-1.22297613605992	-2.60927049717981	-1.5106582085117	6.17749171126128	-2.60927049717981	2.46590331805401	-1.5106582085117	3.32826570790261	3.93175950201009	4.91421081539368	1.45117251336661	-0.529828955499977	1.36102141637231	-0.211375224381442	3.08108895714425	1.72146284310652	4.04616985318783	2.76136753094785	2.33237192542949	0.946077564309601	-1.22297613605992	-1.5106582085117	2.85031501696435	-2.60927049717981	-2.60927049717981	4.72961763665907	3.08446164162289	9.65606584452745	10.80708698979	-1.91612331661987	-1.5106582085117	2.73783703353766	1.97569698149076	-0.817511027951758	0.824716707305333	0.974248441276297	3.96301204551419	0.609605327688388	2.97797816122044	2.48447970362695	0.609605327688388	3.79098694812901	-2.60927049717981	-1.91612331661987	-2.60927049717981	-1.22297613605992	-0.6633603481245	2.9436890877418	-0.529828955499977	-1.5106582085117	-1.5106582085117	3.24293198259466	-0.817511027951758	1.00164741546441	-2.60927049717981	1.41608119355534	2.5555154767437	2.38116208959892	-0.529828955499977	0.223942846876403	7.93338312204975	-1.22297613605992	3.07090211183725	0.568783333168133	-0.6633603481245	3.10115652019506	3.67858806298197	0.0297868324354456	-0.0443211397182761	2.58922653408601	1.54961258617986	0.386461776374178	-1.91612331661987	2.39467580876565	-2.60927049717981	-1.5106582085117	4.05386219881099
ChS_SH_F23_14	1.17907907388965	0.425307271513272	1.92938466828955	-1.65413427016656	4.10791711261361	0.743761002631807	0.137625199061492	2.00942737596308	-0.555521981498454	2.74031488450588	-1.65413427016656	-0.555521981498454	0.743761002631807	5.00515964951707	-1.65413427016656	-1.65413427016656	-1.65413427016656	0.29177587888875	-1.65413427016656	1.60396226785492	-1.65413427016656	-1.65413427016656	-1.65413427016656	-1.65413427016656	-1.65413427016656	-1.65413427016656	0.29177587888875	0.743761002631807	4.37895195163224	-0.555521981498454	-1.65413427016656	-0.267839909046673	5.01282252226264	-0.267839909046673	-1.65413427016656	-1.65413427016656	5.31000134225168	0.830772379621437	6.01021236193205	0.137625199061492	-0.0446963577324631	0.543090307169656	-0.267839909046673	1.92938466828955	-0.0446963577324631	4.5880889952886	-1.65413427016656	2.81177384848802	0.137625199061492	-0.0446963577324631	-1.65413427016656	3.40211153518174	-0.267839909046673	-1.65413427016656	4.96993095763333	2.68967115168712	8.2478521562433	10.1313342484126	0.137625199061492	-0.960987089606618	0.543090307169656	2.03474518394737	-0.555521981498454	5.2344381893988	0.648450822827483	-1.65413427016656	1.17907907388965	2.107065845527	2.77668252867675	-0.267839909046673	3.06436460112853	-1.65413427016656	-0.555521981498454	-1.65413427016656	-1.65413427016656	0.425307271513272	2.60854560687475	-1.65413427016656	-0.960987089606618	-1.65413427016656	0.543090307169656	-1.65413427016656	0.910815087294973	-0.267839909046673	1.60396226785492	-0.0446963577324631	1.67807024000864	-1.65413427016656	-0.0446963577324631	10.2397928307335	-1.65413427016656	0.648450822827483	2.88916051210344	-1.65413427016656	2.78851698632375	3.27311941499064	0.425307271513272	-1.65413427016656	2.70257455652303	-1.65413427016656	-1.65413427016656	-1.65413427016656	2.23768602794406	-1.65413427016656	-0.267839909046673	3.75751178168848
