feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Dolosigranulum	cshasta	cshasta	0.29685991380703	0.340454656890392	40	9	0.388711015004574	0.949170788892823
Rhizobiaceae	cshasta	cshasta	-0.370022146050159	0.435892079658294	40	14	0.401261574476918	0.949170788892823
Corynebacterium	cshasta	cshasta	0.157058197911767	0.406016223063111	40	40	0.701041854254431	0.949170788892823
Blastococcus	cshasta	cshasta	0.499852084667731	0.348693096756534	40	7	0.159891925110593	0.949170788892823
Caldicellulosiruptor	cshasta	cshasta	-0.27681856384486	0.426816870964358	40	8	0.520519830428509	0.949170788892823
Undibacterium	cshasta	cshasta	0.204502861960944	0.416822473217806	40	8	0.626514138688895	0.949170788892823
Kocuria	cshasta	cshasta	-0.361067222885795	0.424523167018433	40	39	0.400361292713375	0.949170788892823
Bacillus	cshasta	cshasta	0.313700212544832	0.398364439057373	40	8	0.43589097875149	0.949170788892823
Blautia	cshasta	cshasta	-0.137128174362625	0.189830605682365	40	23	0.474488634104418	0.949170788892823
Nakamurella	cshasta	cshasta	0.185494698790909	0.295101523270587	40	5	0.533384838733802	0.949170788892823
Acinetobacter	cshasta	cshasta	0.209659196546035	0.397972525271635	40	39	0.601381837638173	0.949170788892823
Lautropia	cshasta	cshasta	0.121265413507959	0.381253505899676	40	12	0.752173077990539	0.949170788892823
Rhodoferax	cshasta	cshasta	0.560659845685991	0.431902074800367	40	38	0.202070763780995	0.949170788892823
Limnohabitans	cshasta	cshasta	0.148983574905453	0.41919484469783	40	11	0.724252141516636	0.949170788892823
Comamonas	cshasta	cshasta	-0.427142775248662	0.381931568501723	40	16	0.270427212528808	0.949170788892823
Lactococcus	cshasta	cshasta	-0.16524632090849	0.452716652529828	40	37	0.717127327760557	0.949170788892823
Patulibacter	cshasta	cshasta	0.157758665628249	0.357675499058536	40	10	0.661664273225529	0.949170788892823
Bradyrhizobium	cshasta	cshasta	0.152527663792692	0.381030554715504	40	35	0.691175013527509	0.949170788892823
Turicibacter	cshasta	cshasta	0.0457085830481244	0.142484565609748	40	39	0.750122060267703	0.949170788892823
Enhydrobacter	cshasta	cshasta	0.332429892930611	0.387534448921793	40	20	0.396377070837942	0.949170788892823
Dubosiella	cshasta	cshasta	0.0611047391369357	0.169892560862807	40	37	0.721087387837858	0.949170788892823
Neisseria	cshasta	cshasta	0.496881465215912	0.367484609824416	40	10	0.184331433744239	0.949170788892823
Ramlibacter	cshasta	cshasta	0.112188981411869	0.132734417756149	40	14	0.403281964056411	0.949170788892823
Paracoccus	cshasta	cshasta	-0.547029272081325	0.358374331413892	40	5	0.135186876473969	0.949170788892823
Faecalibacterium	cshasta	cshasta	0.0840927249093148	0.169742382981601	40	36	0.623160939844865	0.949170788892823
Iodobacter	cshasta	cshasta	0.431214375642207	0.504660081313722	40	15	0.398202386884223	0.949170788892823
Chryseobacterium	cshasta	cshasta	0.334084387668158	0.436279558666224	40	16	0.448551089521194	0.949170788892823
Micrococcus	cshasta	cshasta	-0.0738522260820494	0.374095594447779	40	9	0.844554699101458	0.952674370308368
Brevundimonas	cshasta	cshasta	0.0779876149363773	0.31354045105739	40	7	0.804907352887261	0.952674370308368
Actinomycetospora	cshasta	cshasta	-0.0614476101914509	0.284212103259635	40	5	0.829985679699523	0.952674370308368
Segatella	cshasta	cshasta	-0.0217672592341918	0.105095423999467	40	38	0.837022838438429	0.952674370308368
Marisediminicola	cshasta	cshasta	-0.0530483199840562	0.304898520458654	40	5	0.862799429713239	0.952674370308368
Clostridium	cshasta	cshasta	0.0505140573760446	0.190737626344359	40	37	0.792567633282783	0.952674370308368
Paracoccaceae	cshasta	cshasta	-0.0838376767510829	0.326371852311566	40	7	0.798658916640891	0.952674370308368
Pedobacter	cshasta	cshasta	0.0813957161609044	0.397448084477115	40	33	0.838824666602068	0.952674370308368
Comamonadaceae	cshasta	cshasta	-0.100464202376959	0.344342880368409	40	7	0.772059830292719	0.952674370308368
Muribaculaceae	cshasta	cshasta	-0.0173229626477032	0.096529281089665	40	40	0.858531508556469	0.952674370308368
Aggregatibacter	cshasta	cshasta	0.0435988409984504	0.223687302167924	40	5	0.846501968009511	0.952674370308368
Mesomycoplasma	cshasta	cshasta	-0.0406455275426754	0.146799828235567	40	40	0.783374955689689	0.952674370308368
Dermacoccus	cshasta	cshasta	0.0482159556532447	0.39672958311487	40	12	0.903908855242462	0.983035352088
Actinomyces	cshasta	cshasta	-0.0374101687118902	0.324564997466205	40	9	0.908844004760604	0.983035352088
Lachnospiraceae.NK4A136.group	cshasta	cshasta	-0.00135784813064479	0.108850103465917	40	37	0.990112329552614	0.991962571947918
Massilia	cshasta	cshasta	-0.00419485521467749	0.413690387396897	40	39	0.991962571947918	0.991962571947918
Arcobacter	cshasta	cshasta	0.00247771255920829	0.224468758890045	40	5	0.991250783641553	0.991962571947918
Agathobacter	cshasta	cshasta	-0.0138242993771373	0.162704904217567	40	35	0.932734916860105	0.991962571947918
Veillonella	cshasta	cshasta	-0.0110875366570579	0.370004475535267	40	17	0.976251040897498	0.991962571947918
Anoxybacillus	cshasta	cshasta	0.0136823952296297	0.446728004973846	40	9	0.975726496701716	0.991962571947918
Escherichia.Shigella	cshasta	cshasta	-0.010637035172437	0.210813588283945	40	8	0.960022457559136	0.991962571947918
Rothia	cshasta	cshasta	-0.0118618988189163	0.40010871736652	40	11	0.976503990809121	0.991962571947918
